,zespol,slupek,nazwa_zespolu,id_ulicy,szer_geo,dlug_geo,kierunek,obowiazuje_od
1160,1417,01,gen.Roi,1991,52.396490,20.959330,Objazdowa,2023-10-14 00:00:00.0
1161,1417,02,gen.Roi,1991,52.396430,20.959010,os.Bukowiec,2023-10-14 00:00:00.0
1162,1418,01,os.Bukowiec,1991,52.395028,20.955934,gen.Roi,2023-10-14 00:00:00.0
1163,1418,02,os.Bukowiec,1991,52.394962,20.955658,Słoneczna,2023-10-14 00:00:00.0
1164,1420,01,Polna,1840,52.399336,20.955642,Słoneczna,2023-10-14 00:00:00.0
1165,1420,02,Polna,1840,52.399239,20.955313,Krakusa,2023-10-14 00:00:00.0
1166,1421,01,Tłuchowska,2093,52.341258,20.940904,Dzierzgońska,2023-10-14 00:00:00.0
1167,1421,02,Tłuchowska,1965,52.342085,20.942541,Osiedle,2023-10-14 00:00:00.0
1168,1421,52,Tłuchowska,null,52.342223,20.942577,null,2023-10-14 00:00:00.0
1169,1421,52,Tłuchowska,null,52.341943,20.941544,null,2023-11-10 00:00:00.0
1170,1422,01,Osiedle,1965,52.345877,20.943443,Tłuchowska,2023-10-14 00:00:00.0
1171,1422,02,Osiedle,1965,52.346382,20.943605,Dąbrówka Wiślana,2023-10-14 00:00:00.0
