,Lines,Lon,VehicleNumber,Time,Lat,Brigade,Speed
40523,712,20.855311167,9543,2024-02-19 10:30:44,52.262600333,1,53.250581140881586
44057,712,20.861065667,9543,2024-02-19 10:31:44,52.26974,1,59.638886247651996
45825,712,20.86475,9543,2024-02-19 10:32:19,52.2741345,1,56.489063448506585
5165,194,20.914400167,9545,2024-02-19 10:20:06,52.214174,63,56.870417347351555
38756,194,20.890830167,9545,2024-02-19 10:30:11,52.1985545,63,52.21150039437233
28155,194,20.895525833,9553,2024-02-19 10:27:12,52.200135333,1,52.36887528096044
35227,194,20.8918265,9553,2024-02-19 10:29:12,52.205725333,1,50.54691896609036
21085,715,20.999543333,9556,2024-02-19 10:24:58,52.109915833,55,55.459127860781166
47613,736,20.990915,9675,2024-02-19 10:33:04,52.30209,1,50.14330050159333
29940,226,21.0452339,9689,2024-02-19 10:27:37,52.3030714,1,58.794896034646285
31708,226,21.036956,9689,2024-02-19 10:28:09,52.301013,1,68.35702919879358
14031,110,20.888899,9697,2024-02-19 10:22:50,52.285648,71,50.03895756671438
15799,110,20.880686,9697,2024-02-19 10:23:31,52.286743,71,50.20351514873389
42320,110,20.882984,9697,2024-02-19 10:31:16,52.311008,71,62.00865834527661
44087,110,20.882853,9697,2024-02-19 10:31:42,52.314701,71,56.87161100021825
49398,185,21.03403,9803,2024-02-19 10:33:26,52.16681,1,56.33255714781362
29963,167,20.958535,9816,2024-02-19 10:27:31,52.22341,1,53.37743089227978
5223,167,21.043343,9827,2024-02-19 10:20:02,52.22524,014,50.832689613852
8758,167,21.03325,9827,2024-02-19 10:21:09,52.221344,014,58.70015196740616
10525,167,21.026795,9827,2024-02-19 10:21:36,52.21976,014,63.157690835209195
12292,167,21.01549,9827,2024-02-19 10:22:24,52.21714,014,61.75509038982839
14060,167,21.009553,9827,2024-02-19 10:22:48,52.21743,014,60.86180725998511
15828,167,20.99799,9827,2024-02-19 10:23:33,52.217,014,63.135027277786065
17596,167,20.99213,9827,2024-02-19 10:23:57,52.21663,014,60.200232535382995
29974,167,20.961632,9827,2024-02-19 10:27:33,52.21666,014,59.77933500862139
31742,167,20.95544,9827,2024-02-19 10:28:06,52.21425,014,54.5205482459382
35278,167,20.94642,9827,2024-02-19 10:29:09,52.2082,014,55.629447728592346
38814,167,20.93837,9827,2024-02-19 10:30:00,52.20282,014,59.16186489320258
45884,167,20.91618,9827,2024-02-19 10:32:18,52.19034,014,53.545907775201286
51191,167,20.90255,9827,2024-02-19 10:33:59,52.19892,014,54.456358044301965
52959,167,20.89761,9827,2024-02-19 10:34:29,52.2018,014,55.758114237832096
52960,185,21.02487,9828,2024-02-19 10:34:26,52.244431,11,98.52573208757859
42351,167,20.960495,9829,2024-02-19 10:31:01,52.21633,8,66.9075479723182
5227,185,21.043915,9831,2024-02-19 10:20:07,52.15716,12,50.84055070215205
12297,185,21.034043,9832,2024-02-19 10:22:26,52.23687,6,61.13934289076986
40588,167,20.927521,9833,2024-02-19 10:30:41,52.24065,9,52.62270328500359
38826,167,20.8925,9839,2024-02-19 10:30:08,52.26172,10,51.89411320341591
3469,131,21.063004,9840,2024-02-19 10:19:12,52.18776,7,51.31900953081288
35304,131,21.052308,9853,2024-02-19 10:28:59,52.197663,9,54.45316801336157
38845,114,20.931536,9904,2024-02-19 10:30:11,52.293938,3,58.60452483255699
38853,114,21.024839,9912,2024-02-19 10:30:08,52.286766,7,62.11039656316774
3496,114,20.987131,9913,2024-02-19 10:19:42,52.282829,5,57.76929263670152
12332,114,20.994228,9913,2024-02-19 10:22:27,52.271305,5,86.4576175808054
3498,186,20.982075,9915,2024-02-19 10:19:42,52.281498,6,79.45248601793908
30016,186,20.949123,9915,2024-02-19 10:27:36,52.255642,6,67.48886973723184
47700,210,20.788399,9920,2024-02-19 10:33:00,52.299728,5,55.18472315416487
40633,186,20.996595,9925,2024-02-19 10:30:11,52.288097,495,80.23758166859531
42400,186,20.99473,9925,2024-02-19 10:30:22,52.287243,495,51.85919723077102
44167,186,20.989643,9925,2024-02-19 10:30:52,52.28492,495,51.8158879243954
45935,186,20.988159,9925,2024-02-19 10:31:01,52.284245,495,50.31647709513099
47704,186,20.979557,9925,2024-02-19 10:31:52,52.280312,495,51.566537625942146
8810,210,20.796545,9926,2024-02-19 10:20:53,52.29707,3,52.13815324511693
26495,186,20.963186,9932,2024-02-19 10:26:37,52.207966,4,67.25253099195976
10583,114,20.932482,9933,2024-02-19 10:21:34,52.287975,4,70.55397266823509
22959,114,20.934896,9933,2024-02-19 10:25:29,52.297947,4,50.28914550360515
30032,114,20.937939,9933,2024-02-19 10:27:27,52.303455,4,55.163741101166046
35336,114,20.92528,9933,2024-02-19 10:29:15,52.308716,4,52.600082802845144
14121,114,20.930988,9936,2024-02-19 10:22:21,52.292885,M22,59.91657229591343
14136,186,20.994503,9952,2024-02-19 10:22:42,52.286774,11,58.00936624246865
15904,186,20.99851,9952,2024-02-19 10:23:02,52.288578,11,60.913521173067345
17672,186,21.002733,9952,2024-02-19 10:23:22,52.289738,11,56.6750854464986
