,Lines,Lon,VehicleNumber,Time,Lat,Brigade,nearest_stop,distance_to_stop,is_at_stop
47156,174,21.014135,8342,2024-02-19 10:32:56,52.17959,1,3113,37.55825801616518,no
47158,127,21.0207083,8344,2024-02-19 10:32:59,52.2430183,5,7100,14.505054833712318,yes
47160,504,20.98824,8346,2024-02-19 10:33:01,52.2118467,4,4030,97.29363979338403,no
47162,138,21.092984,8348,2024-02-19 10:32:54,52.264539,2,1044,16.42312581103333,no
47163,709,20.996134,8349,2024-02-19 10:33:01,52.186324,011,R-07,243.16633795475465,no
47164,217,21.0237,8350,2024-02-19 10:32:55,52.17974,2,3009,5.694836590856853,yes
47165,165,21.00093,8351,2024-02-19 10:33:02,52.1745,4,3265,201.9275037103293,no
47168,402,21.151295,8355,2024-02-19 10:32:48,52.2390133,9,,,no
47169,709,21.019044,8356,2024-02-19 10:33:02,52.092213,6,3191,45.16458811592668,no
47170,174,20.997693,8357,2024-02-19 10:32:47,52.233141,5,7088,182.492871339656,no
47172,504,21.0039467,8359,2024-02-19 10:32:48,52.2292983,5,7002,12.01485990281949,yes
47173,501,21.0491833,8360,2024-02-19 10:32:52,52.1778417,2,,,no
47174,710,21.011276,8361,2024-02-19 10:33:03,52.074154,1,3464,6.22038429378093,yes
47175,401,20.9160783,8362,2024-02-19 10:32:52,52.19926,8,,,no
47176,165,21.0241,8363,2024-02-19 10:33:01,52.179785,3,3009,6.439318925389227,yes
47177,727,21.017748,8364,2024-02-19 10:32:52,52.148024,3,3014,9.153488814257472,yes
47178,143,20.9926556,8365,2024-02-19 10:32:57,52.2165589,1,4029,21.041216600831838,no
47181,193,21.0399317,8368,2024-02-19 10:32:56,52.154285,06,3136,57.8393121533984,no
47182,174,21.0042517,8369,2024-02-19 10:32:51,52.1712933,3,3266,12.038783856062526,yes
47184,521,21.1172533,8397,2024-02-19 10:32:54,52.2349067,08,R-10,221.91981594819575,no
47185,525,21.1966467,8398,2024-02-19 10:32:48,52.208245,4,2032,6.134328876356503,yes
47188,120,21.054983,8442,2024-02-19 10:33:04,52.361423,7,1294,10.813537297861577,yes
47190,731,20.9540912,8444,2024-02-19 10:33:02,52.409589,480,1423,88.83484239243113,no
47191,Z26,20.9298602,8445,2024-02-19 10:32:42,52.2248081,1,5011,21.657372563996738,no
47192,509,20.983765,8446,2024-02-19 10:33:05,52.308083,13,1017,93.5518053276981,no
47193,190,20.9392,8447,2024-02-19 10:33:05,52.236,7,5100,46.50277877662921,no
47195,140,21.131645,8449,2024-02-19 10:33:03,52.35511,1,1407,224.3901991799262,no
47197,132,21.056797,8451,2024-02-19 10:33:00,52.323837,1,1326,38.71437686832009,no
